frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y
1,0.0333332541567696,778.438232421875,534.0167236328125,784.0698852539062,529.5830688476562,778.5966186523438,525.6052856445312,780.1492309570312,522.14453125,764.4098510742188,512.367919921875,746.9527587890625,530.2689819335938,727.5907592773438,515.8883666992188,711.2651977539062,561.8130493164062,678.1893920898438,559.14404296875,717.7470092773438,583.70654296875,695.2276611328125,592.44873046875,617.6412963867188,539.4005737304688,605.019775390625,521.4286499023438,524.6729736328125,568.5875244140625,511.0684814453125,554.7609252929688,410.1546630859375,545.2579345703125,415.6688537597656,537.3318481445312
2,0.0666665083135392,777.4740600585938,538.9340209960938,785.1409912109375,536.3909912109375,777.9857788085938,530.5353393554688,786.310546875,532.4652709960938,764.5336303710938,517.140625,756.7078247070312,542.5502319335938,730.0875244140625,517.8396606445312,729.014892578125,566.6652221679688,680.28564453125,543.4873046875,728.5769653320312,588.92529296875,690.8521728515625,589.0313720703125,632.7860107421875,545.5682373046875,616.010986328125,523.3567504882812,533.1385498046875,568.5946655273438,516.6299438476562,550.1278076171875,425.33892822265625,543.2634887695312,431.7848815917969,532.8197631835938
3,0.0999997624703088,767.2653198242188,540.8511962890625,779.0006103515625,538.4732666015625,767.0684814453125,531.7459106445312,793.7738037109375,537.623046875,758.31201171875,519.9935302734375,773.7623901367188,555.1705932617188,732.3587646484375,519.97998046875,756.640869140625,585.6412963867188,683.1210327148438,536.800537109375,732.5198364257812,599.5939331054688,691.898193359375,588.1952514648438,642.7005615234375,548.8204345703125,617.207275390625,520.6290283203125,535.98095703125,566.3345947265625,514.7825927734375,544.0977783203125,427.2022399902344,537.0300903320312,433.8961486816406,526.75634765625
4,0.1333330166270784,768.6943969726562,542.5503540039062,780.147705078125,540.0924682617188,768.5181274414062,534.3087768554688,795.1168823242188,540.1924438476562,760.8143310546875,524.3733520507812,772.5281372070312,559.185546875,735.326171875,521.6512451171875,745.5126953125,588.517822265625,682.1986694335938,530.5773315429688,713.0032348632812,596.8832397460938,691.5149536132812,581.131591796875,638.0601806640625,550.8279418945312,614.6268310546875,521.8966064453125,527.8477783203125,564.5294799804688,511.34454345703125,543.1292114257812,427.2683410644531,538.2244873046875,433.1187744140625,529.1033935546875
5,0.166666270783848,767.81640625,546.5285034179688,780.2119140625,543.8252563476562,768.0706787109375,537.8259887695312,797.2882080078125,543.2137451171875,760.8939819335938,526.6289672851562,780.449951171875,563.863525390625,733.2147827148438,522.623291015625,769.423828125,599.7491455078125,679.995361328125,531.4754638671875,735.333984375,599.6365966796875,691.3533935546875,579.2491455078125,636.5420532226562,551.2037963867188,608.1362915039062,519.9600219726562,522.0615234375,561.211669921875,502.100830078125,539.45263671875,422.9352111816406,534.6089477539062,428.362060546875,527.8539428710938
6,0.1999995249406176,768.26953125,546.1148681640625,778.5401611328125,544.3756713867188,769.2196655273438,538.1798706054688,794.4877319335938,546.2943725585938,766.98046875,530.3232421875,772.968505859375,568.6006469726562,747.1968994140625,519.1848754882812,735.5692749023438,605.2901611328125,690.7536010742188,501.6233825683594,690.5326538085938,590.6659545898438,695.58154296875,485.3865966796875,630.8810424804688,556.5181274414062,613.9730834960938,521.8432006835938,528.0491333007812,564.0230102539062,519.52099609375,537.1926879882812,421.148681640625,549.3217163085938,425.5800476074219,532.7030029296875
7,0.23333277909738717,768.1240844726562,546.2052001953125,778.4545288085938,544.9599609375,769.4473876953125,537.8812866210938,793.753173828125,546.98388671875,766.8818359375,528.9476928710938,772.8997802734375,569.2532958984375,744.6301879882812,517.9718017578125,731.56787109375,605.4518432617188,682.659912109375,500.6617736816406,690.0241088867188,591.2942504882812,691.0485229492188,485.90643310546875,636.4567260742188,558.8069458007812,618.2605590820312,523.5335693359375,531.4120483398438,566.1275024414062,520.9769287109375,536.5506591796875,420.579345703125,553.8561401367188,425.9648132324219,533.7318725585938
8,0.2666660332541568,975.018310546875,545.9884643554688,984.66650390625,544.23876953125,976.7920532226562,537.8084106445312,1000.8189697265625,546.3628540039062,976.1942749023438,530.06494140625,981.5181884765625,570.5601806640625,952.8141479492188,519.7611083984375,938.2568969726562,613.2942504882812,886.8547973632812,505.6905517578125,889.6837158203125,604.4728393554688,900.9846801757812,485.0379943847656,839.3905029296875,561.0828247070312,820.865966796875,526.0311279296875,737.8370971679688,562.869140625,728.7301025390625,536.314697265625,618.5860595703125,556.9921875,625.3257446289062,540.79345703125
9,0.2999992874109264,974.7376708984375,546.623291015625,984.4402465820312,544.54248046875,976.06201171875,538.364501953125,1001.326416015625,545.9277954101562,975.1758422851562,530.284423828125,983.7930908203125,570.510009765625,953.2919921875,519.4434204101562,943.0963134765625,615.25927734375,888.9705200195312,505.2838439941406,889.7509765625,607.6802978515625,902.1521606445312,485.9442443847656,840.9881591796875,560.7772827148438,821.3342895507812,525.3031005859375,739.31640625,563.7031860351562,729.4139404296875,537.1990356445312,618.7875366210938,554.5927734375,625.326904296875,538.9586181640625
10,0.333332541567696,766.9329833984375,546.0726928710938,777.3499145507812,547.0623779296875,771.792724609375,539.3826293945312,792.2724609375,551.9810180664062,768.6720581054688,533.2131958007812,768.4747924804688,568.8684692382812,726.5208740234375,527.2025756835938,714.2889404296875,606.87353515625,653.7197875976562,527.3370361328125,670.0125122070312,584.1265258789062,670.9660034179688,528.7697143554688,619.6217651367188,553.6550903320312,592.4396362304688,523.3909301757812,517.4881591796875,570.36669921875,500.3128967285156,547.411865234375,411.13433837890625,545.4868774414062,412.143310546875,537.2008056640625
