frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y
1,0.03333322734499205,688.6929931640625,469.0688781738281,696.6277465820312,462.2556457519531,678.4934692382812,460.6499938964844,708.9284057617188,467.5973205566406,663.5224609375,465.2791748046875,723.1990356445312,516.9501342773438,654.3738403320312,514.7789306640625,745.872802734375,584.0601806640625,616.62255859375,584.5661010742188,767.1441650390625,657.5469360351562,603.2408447265625,639.818115234375,701.3941040039062,633.6241455078125,657.3356323242188,629.5062255859375,683.9669189453125,675.9967651367188,643.0491943359375,664.73046875,626.5763549804688,685.27197265625,612.05078125,660.3788452148438
2,0.0666664546899841,689.4196166992188,468.1907653808594,697.4967651367188,461.6285705566406,679.509765625,459.6891174316406,708.904541015625,467.623779296875,663.7442626953125,464.5437927246094,721.5440673828125,518.4495239257812,652.735595703125,516.2802734375,744.1104125976562,586.1570434570312,617.543701171875,586.75634765625,758.7654418945312,654.8359375,602.2998657226562,639.631103515625,700.223876953125,632.526611328125,656.8709716796875,628.3749389648438,681.4920043945312,672.7523193359375,643.1336059570312,664.0509033203125,623.8345336914062,676.2742309570312,612.3621826171875,661.3397216796875
3,0.09999968203497615,689.4788208007812,467.8804931640625,697.4930419921875,461.2890319824219,679.4839477539062,459.4950866699219,708.9007568359375,467.4576416015625,663.7852172851562,464.7541198730469,721.3153686523438,518.6943359375,652.5177001953125,516.5869750976562,743.2284545898438,586.627685546875,617.2705078125,587.2220458984375,757.96240234375,654.3975830078125,601.7969970703125,640.8013916015625,699.0956420898438,631.7586669921875,655.8865966796875,627.739990234375,682.2412109375,672.1206665039062,644.493408203125,663.377197265625,625.8817138671875,675.7493286132812,614.4425048828125,660.751220703125
4,0.1333329093799682,688.3890380859375,468.2693176269531,696.818359375,461.4945373535156,678.4036254882812,460.0731201171875,709.7246704101562,467.5616760253906,664.0799560546875,465.39190673828125,723.35546875,517.9160766601562,653.5165405273438,515.6644897460938,744.258544921875,585.4441528320312,616.4517211914062,585.3005981445312,764.5205688476562,657.8759155273438,600.7883911132812,643.5631713867188,698.593017578125,632.3781127929688,654.34765625,628.3190307617188,681.0947265625,673.4856567382812,640.2534790039062,661.8875732421875,631.0119018554688,684.2449340820312,616.5068969726562,659.588134765625
5,0.16666613672496025,688.4977416992188,468.0377197265625,696.83544921875,461.31805419921875,678.476806640625,459.9247741699219,709.7036743164062,467.4297790527344,664.16943359375,465.41851806640625,723.0336303710938,517.5067749023438,653.3627319335938,515.5532836914062,744.523681640625,585.0112915039062,616.3281860351562,585.5880737304688,764.6286010742188,656.9877319335938,600.5047607421875,644.0890502929688,697.2899780273438,630.5287475585938,653.1895141601562,626.7808227539062,683.6778564453125,671.1458740234375,642.9625244140625,660.286865234375,632.2005615234375,682.0787963867188,617.7481689453125,658.8089599609375
6,0.1999993640699523,688.1110229492188,467.7795715332031,696.50927734375,461.05584716796875,678.2052612304688,459.693115234375,709.4920043945312,467.18731689453125,664.1800537109375,465.1982727050781,722.916015625,517.32958984375,653.0721435546875,515.54150390625,744.56005859375,584.8826904296875,616.1781005859375,585.8292236328125,764.3884887695312,656.1041259765625,600.3789672851562,644.51708984375,697.1492919921875,630.1226806640625,652.9292602539062,626.5320434570312,684.54248046875,671.2127685546875,643.386962890625,660.4251708984375,634.8077392578125,681.0811767578125,619.6224365234375,657.95068359375
7,0.23333259141494436,687.7908935546875,467.6294860839844,696.1282958984375,460.5787658691406,677.9893188476562,459.786865234375,708.5115356445312,466.5172119140625,663.6087036132812,465.3516845703125,722.6233520507812,516.5379638671875,651.6817016601562,515.8406982421875,744.2945556640625,583.5068359375,616.7015380859375,585.0394287109375,763.5064086914062,652.4210205078125,600.36962890625,642.026123046875,699.8822021484375,631.1434326171875,654.1653442382812,628.1250610351562,684.4061889648438,674.8289794921875,637.247802734375,663.4954223632812,649.3517456054688,680.8447265625,623.2259521484375,655.4030151367188
8,0.2666658187599364,687.7672119140625,467.4833068847656,696.032470703125,460.47247314453125,677.8646850585938,459.64697265625,708.2982788085938,466.5982666015625,663.3497924804688,465.4051818847656,722.4442749023438,517.1085815429688,651.51220703125,516.0814819335938,744.7736206054688,584.5927734375,616.7051391601562,585.1973266601562,764.5680541992188,654.8341064453125,600.8265991210938,641.0311279296875,699.8433837890625,632.6460571289062,654.243896484375,629.548095703125,685.7584838867188,675.6674194335938,639.7362060546875,664.1428833007812,649.3171997070312,681.5149536132812,625.4359741210938,655.7003784179688
9,0.29999904610492845,687.3814697265625,467.4839172363281,695.6659545898438,460.4179992675781,677.50244140625,459.6578063964844,708.1536254882812,466.5193786621094,663.31201171875,465.4900817871094,722.5630493164062,517.2786254882812,651.4371948242188,516.0623168945312,744.2828369140625,585.2451782226562,616.5598754882812,585.241943359375,765.2378540039062,656.7734985351562,600.4194946289062,641.399169921875,698.9663696289062,632.6152954101562,653.154541015625,629.2398071289062,684.4682006835938,676.1710815429688,637.1508178710938,663.7242431640625,649.2294921875,681.467529296875,622.749755859375,654.0751342773438
10,0.3333322734499205,686.6013793945312,467.5697326660156,695.1251831054688,460.54254150390625,676.9351196289062,459.7232971191406,707.92138671875,466.6541748046875,663.1123657226562,465.34381103515625,722.3878173828125,517.3208618164062,651.3029174804688,515.8786010742188,743.75244140625,585.2554321289062,616.8865356445312,584.700927734375,764.893798828125,657.1061401367188,600.9716186523438,640.4943237304688,699.8833618164062,633.6611938476562,654.11962890625,630.1819458007812,683.0818481445312,677.3510131835938,636.226318359375,664.3397827148438,651.3002319335938,681.5889892578125,626.0629272460938,653.0795288085938
