frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y
1,0.033333252230332525,688.0349731445312,240.01260375976562,696.00732421875,235.00625610351562,681.3129272460938,233.3429718017578,702.8754272460938,242.38340759277344,666.6199340820312,238.20596313476562,722.2479248046875,282.6607666015625,638.064208984375,282.4466552734375,756.8182983398438,259.75201416015625,606.6669311523438,261.2982177734375,719.0733032226562,242.4503936767578,637.5314331054688,242.9782257080078,702.71728515625,421.40283203125,652.0004272460938,421.3717041015625,695.0859375,518.5794067382812,656.7774658203125,521.0189819335938,681.0761108398438,615.8402099609375,666.3070678710938,617.6547241210938
2,0.06666650446066505,687.9700317382812,240.04849243164062,695.9444580078125,235.05787658691406,681.2319946289062,233.39739990234375,702.8014526367188,242.4712677001953,666.5105590820312,238.2830810546875,721.9805908203125,282.8284912109375,638.067626953125,282.490966796875,756.4443969726562,259.9316711425781,606.8048095703125,261.2237548828125,719.23974609375,242.3857421875,637.776123046875,242.91358947753906,702.5928344726562,421.7050476074219,652.0208740234375,421.670654296875,694.9526977539062,518.8101196289062,656.8491821289062,521.2879638671875,681.1798095703125,615.589111328125,666.4905395507812,617.4712524414062
3,0.09999975669099757,688.0328369140625,240.18045043945312,695.9493408203125,235.24090576171875,681.336181640625,233.51304626464844,702.5902709960938,242.60520935058594,666.3280639648438,238.21609497070312,721.6253662109375,282.6905822753906,637.7554321289062,282.0203552246094,756.36376953125,260.39215087890625,607.0681762695312,260.9560546875,718.959716796875,242.4543914794922,638.4625244140625,242.4887237548828,702.5291748046875,421.1217041015625,651.9494018554688,420.9869384765625,694.6976928710938,518.160400390625,656.7385864257812,520.609619140625,681.1598510742188,615.2579345703125,666.80126953125,617.1732177734375
4,0.1333330089213301,688.1818237304688,240.2869415283203,696.0310668945312,235.42703247070312,681.460693359375,233.6759796142578,702.5035400390625,242.9573974609375,666.2271118164062,238.52981567382812,721.5116577148438,282.99151611328125,637.518798828125,282.30023193359375,756.3557739257812,260.4710998535156,606.9739990234375,261.164306640625,718.7234497070312,241.7305908203125,638.1619262695312,242.4195098876953,702.5150756835938,421.0918273925781,651.8681640625,420.9396057128906,694.570068359375,518.4061279296875,656.6688232421875,520.7901000976562,681.125244140625,615.5025024414062,666.8510131835938,617.2725219726562
5,0.1666662611516626,687.60205078125,240.2900848388672,695.541015625,235.3852996826172,680.9400634765625,233.62701416015625,702.29150390625,242.79388427734375,666.06201171875,238.37112426757812,721.3631591796875,282.8207092285156,637.5699462890625,282.1693420410156,756.2223510742188,260.4701232910156,606.8469848632812,261.0504150390625,718.7594604492188,241.6817169189453,638.3045654296875,241.67396545410156,702.4884033203125,420.76202392578125,651.9567260742188,420.677978515625,694.7825317382812,518.489501953125,656.931640625,521.17138671875,681.4219970703125,615.2852172851562,666.9005126953125,617.4609375
6,0.19999951338199515,687.3346557617188,240.45147705078125,695.3639526367188,235.59349060058594,680.6943359375,233.8411102294922,702.3819580078125,243.06549072265625,666.1139526367188,238.69679260253906,721.4877319335938,282.94580078125,637.888671875,282.45037841796875,756.226806640625,260.3393249511719,607.1559448242188,261.26580810546875,718.8875732421875,241.7247314453125,638.1947631835938,241.9073028564453,702.4625244140625,420.8925476074219,652.01904296875,420.8379211425781,694.9847412109375,518.2413940429688,657.0774536132812,520.9081420898438,681.6881713867188,615.0194702148438,667.1632080078125,617.182861328125
7,0.23333276561232766,686.985107421875,240.34661865234375,695.0634765625,235.46624755859375,680.3076782226562,233.77761840820312,702.2782592773438,242.90109252929688,665.921630859375,238.72113037109375,721.3630981445312,282.7488708496094,638.2192993164062,282.64691162109375,756.0440063476562,260.3824157714844,607.2529907226562,261.7482604980469,719.90087890625,241.97708129882812,636.0064086914062,241.079345703125,702.4284057617188,420.96612548828125,652.2791748046875,421.0286560058594,695.1239013671875,518.361083984375,657.2405395507812,521.082763671875,681.75537109375,615.04443359375,667.0208129882812,617.2837524414062
8,0.2666660178426602,687.3818969726562,240.30361938476562,695.41162109375,235.45863342285156,680.6427001953125,233.8072052001953,702.4586791992188,243.0154571533203,666.0119018554688,238.8644561767578,721.38427734375,282.9273681640625,638.1602172851562,282.5938415527344,756.4215087890625,260.6423645019531,607.2457275390625,261.5316467285156,721.4804077148438,242.28530883789062,636.2450561523438,241.36257934570312,702.2973022460938,420.9967041015625,652.0955200195312,421.0245361328125,694.9956665039062,518.2404174804688,657.0784301757812,520.94384765625,682.0526123046875,614.8519897460938,667.1635131835938,617.1139526367188
9,0.2999992700729927,687.3314208984375,240.5803985595703,695.3125,235.63230895996094,680.6356201171875,233.95262145996094,702.2191162109375,242.96473693847656,665.8687133789062,238.7469482421875,721.3980102539062,282.81768798828125,637.7529296875,282.6138610839844,756.6576538085938,260.2917785644531,607.127685546875,261.35980224609375,719.5186157226562,241.8024444580078,637.171875,240.77366638183594,702.6019287109375,421.382568359375,652.1268310546875,421.4495849609375,695.0736083984375,517.91748046875,656.9955444335938,520.7774047851562,681.8468017578125,615.2352294921875,667.2207641601562,617.5772705078125
10,0.3333325223033252,686.1929321289062,240.74342346191406,694.365234375,235.8871307373047,679.5291137695312,234.1315460205078,701.7220458984375,243.32366943359375,665.025390625,239.01260375976562,720.8551635742188,283.27520751953125,637.5445556640625,283.2216491699219,756.01025390625,260.34881591796875,606.228515625,261.9875793457031,717.837158203125,241.08641052246094,631.3745727539062,242.01217651367188,702.1490478515625,421.7772216796875,651.9052124023438,421.74432373046875,695.0051879882812,517.9521484375,656.64501953125,520.6268310546875,682.0791015625,614.2767944335938,667.2540283203125,616.9642333984375
