frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y
1,0.03333325825825826,731.7115478515625,266.30853271484375,737.6925048828125,253.7991180419922,720.1241455078125,259.6996765136719,756.4651489257812,248.6826629638672,712.4623413085938,264.3877868652344,798.5751953125,291.8057861328125,714.920654296875,320.80615234375,859.3799438476562,338.6605529785156,699.7659912109375,399.1430969238281,903.7215576171875,388.67578125,684.8023681640625,460.1707763671875,817.6554565429688,434.123291015625,758.0308227539062,446.68511962890625,850.9393310546875,528.0953979492188,735.0074462890625,542.963623046875,881.6190795898438,613.6419067382812,710.7294921875,625.0307006835938
2,0.06666651651651652,728.661376953125,275.6717529296875,734.6326904296875,262.7943115234375,717.7994384765625,268.8976135253906,755.7354736328125,255.11949157714844,713.6756591796875,271.5538330078125,802.8035888671875,294.6963195800781,718.4110107421875,324.8384704589844,870.880859375,336.35711669921875,702.5198364257812,402.64434814453125,917.6558837890625,381.1801452636719,684.713134765625,466.65594482421875,821.8984375,437.19964599609375,761.8622436523438,449.26788330078125,854.7000732421875,529.3309326171875,735.4593505859375,542.0751342773438,888.8912353515625,618.0007934570312,712.1041259765625,625.9833984375
3,0.09999977477477477,729.8303833007812,282.83245849609375,736.4004516601562,269.7465515136719,719.2127685546875,275.6825256347656,761.1964721679688,259.5650939941406,717.8845825195312,276.0084228515625,809.483154296875,296.52276611328125,726.2348022460938,326.4697570800781,878.349853515625,331.330810546875,709.58154296875,401.5040588378906,931.6526489257812,373.4150695800781,687.9763793945312,469.1582946777344,826.1968383789062,440.5212097167969,767.2550048828125,451.41644287109375,856.7255249023438,532.0132446289062,738.9306030273438,541.8848876953125,886.2508544921875,621.6257934570312,711.4876098632812,625.8794555664062
4,0.13333303303303304,731.0728759765625,286.5617370605469,738.2313232421875,272.97674560546875,721.3707275390625,278.79364013671875,764.6417846679688,262.8060607910156,721.1922607421875,278.53936767578125,812.96337890625,297.87628173828125,732.0147094726562,328.99530029296875,881.2005004882812,329.577880859375,714.7386474609375,403.9045104980469,937.8088989257812,368.22064208984375,689.3534545898438,473.0691833496094,832.6484985351562,444.3858947753906,773.6371459960938,455.3378601074219,858.0882568359375,532.3721313476562,735.6060180664062,540.5007934570312,886.8087768554688,623.352783203125,708.904541015625,626.0870361328125
5,0.1666662912912913,731.766357421875,286.89453125,738.8040161132812,273.17816162109375,721.7828979492188,279.13787841796875,764.8346557617188,262.62481689453125,721.093994140625,278.72088623046875,812.8677978515625,297.6899108886719,732.1669311523438,329.0008850097656,881.2367553710938,329.5234069824219,715.1806640625,403.8032531738281,938.694091796875,368.0635986328125,689.351318359375,472.7568359375,832.5987548828125,444.89276123046875,773.7449951171875,455.99072265625,857.996826171875,532.421630859375,735.81982421875,540.8444213867188,886.9891967773438,623.5072631835938,708.7468872070312,626.4911499023438
6,0.19999954954954954,735.81982421875,288.0339050292969,742.5018310546875,274.25360107421875,725.4725341796875,280.3776550292969,767.5648803710938,263.5617980957031,723.7021484375,280.20355224609375,816.142822265625,297.9118347167969,733.5633544921875,330.70452880859375,885.6214599609375,327.6556701660156,716.268798828125,406.86480712890625,943.482666015625,363.967041015625,690.911376953125,475.62860107421875,835.1994018554688,444.33795166015625,775.3175048828125,455.82049560546875,859.4706420898438,532.4927978515625,736.3427124023438,540.6947631835938,887.4358520507812,623.5529174804688,708.6124877929688,625.560546875
7,0.23333280780780782,735.4493408203125,288.0975646972656,742.2876586914062,274.4385681152344,725.3471069335938,280.3615417480469,767.5828857421875,263.9016418457031,723.9014892578125,280.0408630371094,816.26171875,298.1788024902344,733.4948120117188,330.6706237792969,886.1206665039062,327.8126220703125,716.3807373046875,406.8501892089844,943.529541015625,363.932373046875,690.8665161132812,475.27764892578125,835.1492919921875,444.7364807128906,775.145751953125,456.034423828125,859.492431640625,532.896728515625,735.96142578125,540.8627319335938,887.2803344726562,623.8499145507812,708.7009887695312,625.8502807617188
8,0.2666660660660661,736.1063232421875,288.92156982421875,742.8541259765625,275.3751525878906,726.1649169921875,281.2757873535156,768.1346435546875,265.0653076171875,724.9081420898438,281.350830078125,817.5032958984375,298.1269836425781,734.628173828125,332.98077392578125,889.4527587890625,325.04486083984375,718.3968505859375,410.82086181640625,948.283935546875,363.4516296386719,692.434814453125,479.3568420410156,836.6549072265625,442.54327392578125,776.7972412109375,454.59979248046875,861.3975219726562,531.808349609375,737.932861328125,540.1527709960938,887.36376953125,623.8582153320312,710.052978515625,625.604736328125
9,0.29999932432432436,736.5250854492188,288.9327087402344,743.2440795898438,275.338134765625,726.4258422851562,281.32659912109375,768.3328247070312,264.918701171875,724.8546752929688,281.3971862792969,817.616455078125,298.01385498046875,734.6060180664062,333.0732116699219,889.1679077148438,324.6267395019531,718.7423095703125,410.5722961425781,948.1153564453125,363.1830749511719,692.5601806640625,478.846435546875,836.9463500976562,443.08599853515625,777.0364990234375,455.22137451171875,861.1658325195312,532.427978515625,738.055908203125,540.6131591796875,887.6494140625,623.4653930664062,711.0084228515625,624.7796020507812
10,0.3333325825825826,734.8524780273438,291.7745361328125,740.7763671875,277.8002624511719,724.1813354492188,284.575439453125,765.8302612304688,266.6387634277344,722.7529296875,285.34234619140625,816.0974731445312,297.5052795410156,735.0091552734375,336.1845397949219,885.2982177734375,318.0599365234375,720.3828125,415.39019775390625,945.6800537109375,348.934326171875,696.3509521484375,482.5227966308594,838.7890625,440.9316711425781,779.8779296875,454.1543884277344,861.1124267578125,532.0035400390625,740.0554809570312,539.5349731445312,886.7374267578125,624.1455078125,711.2039794921875,622.6819458007812
