frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y
1,0.03333322502030869,778.8797607421875,188.34132385253906,787.58740234375,178.0487518310547,765.5618286132812,179.18504333496094,803.8544311523438,182.4873046875,748.864990234375,187.3488006591797,832.2340087890625,246.37319946289062,734.3825073242188,249.90809631347656,852.5437622070312,318.477294921875,717.467529296875,332.3460388183594,842.7811279296875,363.8074035644531,718.7755126953125,372.4087829589844,806.7638549804688,394.0239562988281,747.677001953125,388.4927673339844,785.5548706054688,518.6124877929688,755.0769653320312,483.4030456542969,769.5491333007812,648.8755493164062,775.59765625,589.5768432617188
2,0.06666645004061739,775.9237670898438,188.91607666015625,784.254638671875,178.54458618164062,762.4518432617188,179.97071838378906,800.579345703125,182.83433532714844,746.3455810546875,188.57937622070312,831.2269287109375,246.76095581054688,733.4108276367188,251.2759552001953,853.8289184570312,316.16558837890625,717.9000244140625,332.16668701171875,842.3543090820312,359.1448059082031,717.8512573242188,373.7746276855469,806.48583984375,395.5968933105469,747.6239013671875,390.1622009277344,786.3764038085938,520.0578002929688,756.3411865234375,484.6160583496094,769.3191528320312,648.7984619140625,775.0563354492188,589.1798095703125
3,0.09999967506092608,774.151123046875,189.49583435058594,782.585205078125,179.0740966796875,760.7791137695312,180.29910278320312,799.5729370117188,183.49118041992188,745.431884765625,188.84925842285156,832.1294555664062,247.7646942138672,733.3512573242188,250.85507202148438,854.0606689453125,317.6781921386719,719.0724487304688,332.63885498046875,841.5967407226562,358.6436767578125,717.8612060546875,375.3813781738281,807.6224975585938,395.32440185546875,747.4876098632812,388.05816650390625,785.0235595703125,519.1442260742188,749.8876342773438,476.44232177734375,772.87158203125,649.2054443359375,772.306884765625,578.0803833007812
4,0.13333290008123477,776.6580810546875,185.52195739746094,784.0729370117188,176.20880126953125,763.947509765625,176.83392333984375,797.5360107421875,183.74639892578125,747.20751953125,187.56993103027344,828.54638671875,249.29367065429688,732.53662109375,252.84933471679688,853.3312377929688,317.9324645996094,718.604736328125,336.27984619140625,840.954345703125,358.26361083984375,718.5333251953125,378.8585205078125,807.5806884765625,394.7339172363281,749.5196533203125,388.515869140625,786.5803833007812,519.6754150390625,754.4559936523438,480.6585998535156,771.8765869140625,649.745849609375,774.2277221679688,584.2949829101562
5,0.16666612510154347,775.5294799804688,186.5897216796875,783.2849731445312,177.4708251953125,762.9435424804688,177.54295349121094,797.0967407226562,185.4062042236328,745.816650390625,187.9898681640625,828.8394775390625,250.1466522216797,731.1590576171875,252.79684448242188,851.5077514648438,317.82421875,720.1802368164062,336.7264099121094,839.4702758789062,357.8430480957031,718.193603515625,376.0744323730469,808.9684448242188,394.3709716796875,748.8578491210938,386.4227294921875,784.3956909179688,518.023681640625,744.608154296875,470.6558837890625,775.499267578125,648.7286376953125,770.7493896484375,569.453857421875
6,0.19999935012185216,774.4364013671875,188.8201141357422,782.1807861328125,179.45718383789062,761.722900390625,179.619873046875,796.4199829101562,186.71092224121094,744.6688842773438,189.57211303710938,829.1744384765625,251.5944061279297,730.768798828125,253.1989288330078,850.9508056640625,322.75323486328125,720.5101928710938,337.00177001953125,832.8775024414062,363.505126953125,718.4265747070312,376.0687255859375,808.7784423828125,395.68377685546875,747.9838256835938,387.03619384765625,784.3458251953125,519.2625122070312,743.6597290039062,470.86126708984375,775.8209228515625,649.8240966796875,769.8788452148438,569.0778198242188
7,0.23333257514216083,774.448974609375,191.05838012695312,782.1049194335938,181.59780883789062,761.8013305664062,181.90536499023438,796.4819946289062,188.00148010253906,745.1190795898438,191.1682891845703,828.9862670898438,251.92474365234375,731.3596801757812,253.61260986328125,850.6135864257812,322.4145812988281,720.0739135742188,336.3544921875,832.9334716796875,363.3266906738281,718.5956420898438,376.9253234863281,808.3860473632812,395.8043212890625,748.3154296875,387.5154113769531,784.5223999023438,519.5811157226562,745.8848876953125,473.0886535644531,774.67822265625,649.2210693359375,770.4559936523438,571.7138671875
8,0.26666580016246955,771.4461059570312,188.9770965576172,779.3287353515625,179.63211059570312,758.681884765625,179.23109436035156,793.80126953125,187.0769500732422,740.9764404296875,188.71466064453125,828.220458984375,253.36094665527344,728.4114990234375,251.99159240722656,848.5342407226562,328.5467834472656,721.58642578125,336.3446044921875,819.741455078125,364.97027587890625,718.9680786132812,375.61505126953125,810.2706909179688,397.3559875488281,747.996826171875,386.5592346191406,782.9049072265625,520.0869750976562,739.0285034179688,466.4716796875,777.0091552734375,649.6880493164062,768.7313842773438,561.517333984375
9,0.2999990251827782,770.1336669921875,189.7141876220703,777.939697265625,179.3927459716797,756.5660400390625,180.19984436035156,793.60400390625,184.70474243164062,739.3980712890625,189.214111328125,829.3785400390625,251.08285522460938,728.9453125,251.4093780517578,848.8949584960938,328.82977294921875,721.2491455078125,335.3990173339844,816.3572998046875,366.8388671875,718.5244140625,375.751708984375,809.8660888671875,397.8232421875,747.511474609375,388.06005859375,783.6647338867188,521.0657958984375,742.9008178710938,471.38519287109375,775.6957397460938,649.50537109375,770.14599609375,567.5430297851562
10,0.33333225020308693,769.5533447265625,189.67990112304688,778.2371215820312,180.12289428710938,756.8469848632812,180.1715545654297,794.1622314453125,186.22171020507812,739.7445678710938,188.4636993408203,827.5704956054688,251.2054443359375,728.5983276367188,250.58665466308594,849.3717041015625,330.2386169433594,721.1127319335938,336.7712097167969,815.644287109375,368.1857604980469,718.8200073242188,374.12005615234375,809.7462768554688,397.8099365234375,747.7135009765625,388.37890625,785.8701171875,524.946533203125,745.6770629882812,479.1908264160156,774.910400390625,647.82275390625,772.3318481445312,574.1310424804688
11,0.3666654752233956,770.2131958007812,189.6976318359375,777.9409790039062,179.44140625,756.6881713867188,180.41073608398438,793.2945556640625,184.8988800048828,739.296875,189.78677368164062,829.3064575195312,250.7931365966797,727.9970092773438,252.40159606933594,848.8955688476562,327.7190856933594,720.1419067382812,336.1388854980469,815.70458984375,366.0905456542969,718.9486694335938,373.3586120605469,810.02685546875,398.1388854980469,747.111572265625,389.11968994140625,784.4270629882812,520.2818603515625,743.189208984375,471.99591064453125,776.8114624023438,647.8271484375,771.5869750976562,567.3528442382812
12,0.3999987002437043,770.3646850585938,189.7290496826172,778.1017456054688,179.4735565185547,756.940673828125,180.2496337890625,793.3662109375,185.10169982910156,739.5817260742188,189.68331909179688,830.4994506835938,251.0666046142578,727.2130126953125,252.87643432617188,848.8134765625,327.373779296875,719.8080444335938,338.2903137207031,815.6329956054688,364.55340576171875,720.68310546875,375.1017761230469,811.0167236328125,399.6142883300781,746.4155883789062,389.9954528808594,784.1176147460938,521.1851806640625,738.2566528320312,468.86676025390625,779.1443481445312,648.7476196289062,768.5999145507812,560.96533203125
13,0.433331925264013,770.3067016601562,189.4119110107422,778.2440185546875,179.08726501464844,757.0606079101562,179.71380615234375,793.6755981445312,185.0029754638672,740.0241088867188,189.27130126953125,831.958740234375,251.74241638183594,726.1304931640625,252.9348602294922,849.6104736328125,328.6351013183594,718.6282958984375,339.2572021484375,814.3534545898438,361.5846252441406,725.146484375,372.6175842285156,811.1417846679688,401.6867980957031,744.5774536132812,391.3993835449219,782.7400512695312,522.0413208007812,733.0147094726562,467.2898254394531,780.583984375,650.2571411132812,765.5852661132812,557.9893188476562
14,0.46666515028432165,769.68798828125,188.96897888183594,778.0968017578125,178.61790466308594,756.6478271484375,179.36981201171875,794.2683715820312,184.70944213867188,740.4109497070312,189.0792999267578,832.2432861328125,251.94430541992188,725.527099609375,252.8585205078125,851.0159301757812,330.6963806152344,716.1793212890625,339.0401916503906,812.0098266601562,356.93853759765625,731.3311767578125,365.7835998535156,810.3389282226562,400.1081237792969,743.7216186523438,390.8174743652344,783.0089721679688,520.3170166015625,737.378173828125,471.94378662109375,778.0372924804688,647.6863403320312,769.4070434570312,566.1168823242188
15,0.49999837530463037,769.4822998046875,187.9103546142578,778.221923828125,177.532470703125,756.911376953125,178.38418579101562,794.7811279296875,184.21986389160156,742.0177612304688,188.61972045898438,833.0830688476562,252.01905822753906,725.5608520507812,253.86038208007812,852.3258666992188,332.4322204589844,713.359619140625,341.4640808105469,811.4757690429688,354.5767822265625,738.7755737304688,357.2403869628906,811.2957763671875,398.8062438964844,744.590576171875,390.78082275390625,782.4664916992188,517.5437622070312,739.123291015625,474.3888244628906,775.1422119140625,647.8411254882812,771.0579223632812,573.6952514648438
16,0.5333316003249391,769.6585693359375,186.68638610839844,778.2110595703125,176.14866638183594,757.241455078125,177.33348083496094,794.8131103515625,182.8844451904297,743.6328735351562,187.9645233154297,833.4822387695312,251.66053771972656,726.5602416992188,253.23191833496094,852.5283813476562,333.2122802734375,712.687255859375,339.7978210449219,811.5299072265625,352.0519104003906,744.8529663085938,349.9664001464844,810.1519165039062,399.67706298828125,744.1242065429688,392.15087890625,782.5568237304688,519.064697265625,742.0801391601562,479.04998779296875,773.2199096679688,649.5379028320312,770.737060546875,580.029296875
17,0.5666648253452478,771.9605712890625,186.35926818847656,780.544189453125,175.99395751953125,759.52197265625,177.09165954589844,796.5911254882812,183.11553955078125,745.2550048828125,187.78338623046875,833.8264770507812,251.32118225097656,726.6419067382812,252.780029296875,853.0018310546875,332.2210998535156,711.6320190429688,338.4076232910156,812.9064331054688,349.6336364746094,751.191650390625,344.37005615234375,810.7030639648438,398.63311767578125,744.7171630859375,391.92218017578125,782.8545532226562,518.6902465820312,744.4608154296875,482.5596923828125,769.6932983398438,649.8890380859375,771.2438354492188,586.1773071289062
18,0.5999980503655564,772.9346923828125,186.51995849609375,781.7828369140625,176.0501251220703,760.2830810546875,177.2614288330078,798.1680297851562,182.85659790039062,745.7120361328125,187.5460205078125,833.2708129882812,250.99468994140625,726.4290771484375,252.30751037597656,853.7365112304688,332.3780822753906,710.9117431640625,337.8886413574219,813.517578125,345.987060546875,760.6951293945312,343.6522216796875,809.4738159179688,397.47943115234375,744.3671264648438,392.3867492675781,784.4510498046875,519.740966796875,752.1680908203125,492.3800354003906,764.1265869140625,649.9296264648438,774.0054931640625,600.8339233398438
19,0.6333312753858651,774.549072265625,186.40113830566406,783.1887817382812,175.9018096923828,762.0179443359375,177.01918029785156,798.8964233398438,182.61038208007812,747.2352294921875,187.06137084960938,833.67919921875,250.6217498779297,727.0075073242188,251.28465270996094,854.8416748046875,331.39019775390625,708.9041748046875,337.00653076171875,813.3449096679688,338.55694580078125,758.0130004882812,340.69158935546875,809.2479248046875,396.7079162597656,744.2269287109375,391.28436279296875,783.8074951171875,518.4361572265625,751.5932006835938,490.7517395019531,764.0653076171875,650.2735595703125,772.9989624023438,600.928955078125
