frame,time_s,nose_x,nose_y,l_eye_x,l_eye_y,r_eye_x,r_eye_y,l_ear_x,l_ear_y,r_ear_x,r_ear_y,l_shoulder_x,l_shoulder_y,r_shoulder_x,r_shoulder_y,l_elbow_x,l_elbow_y,r_elbow_x,r_elbow_y,l_wrist_x,l_wrist_y,r_wrist_x,r_wrist_y,l_hip_x,l_hip_y,r_hip_x,r_hip_y,l_knee_x,l_knee_y,r_knee_x,r_knee_y,l_ankle_x,l_ankle_y,r_ankle_x,r_ankle_y,pred_label,pred_conf
1,0.0333332518337408,814.6912841796875,235.46896362304688,823.601318359375,227.6097412109375,804.9879760742188,226.6270751953125,831.3931274414062,234.08868408203125,782.638916015625,230.77378845214844,837.7132568359375,293.8580627441406,759.7944946289062,292.1979675292969,853.055419921875,365.91943359375,729.8840942382812,367.4053649902344,861.0020751953125,421.2717895507813,726.3602294921875,435.9006652832031,824.2084350585938,436.9029541015625,775.2922973632812,437.3992309570313,809.467041015625,536.2107543945312,770.6224975585938,542.033447265625,788.8868408203125,626.8687744140625,764.9252319335938,640.8875732421875,Vrikshasana,0.7487379
2,0.0666665036674816,812.9160766601562,234.41156005859372,821.631591796875,226.6240234375,803.2484741210938,225.76187133789065,829.5021362304688,233.3335723876953,781.2351684570312,230.18724060058597,836.8972778320312,293.50152587890625,758.6060791015625,291.3253479003906,852.5841064453125,365.9530334472656,729.7153930664062,365.615966796875,858.5768432617188,421.7809448242188,727.3490600585938,434.6309814453125,823.710693359375,436.6940612792969,774.4486083984375,436.9475708007813,809.1646728515625,536.5375366210938,770.2879028320312,541.9414672851562,789.155517578125,626.8703002929688,764.8782348632812,640.3172607421875,Vrikshasana,0.7420707
3,0.0999997555012224,806.92041015625,232.0655059814453,816.4389038085938,223.93153381347656,796.8287963867188,222.86868286132807,826.5875244140625,230.0343780517578,776.736083984375,226.92860412597656,835.279052734375,293.2450256347656,753.55419921875,289.8557434082031,848.2727661132812,368.80859375,728.1914672851562,365.6988830566406,850.0114135742188,425.5659484863281,726.5264282226562,435.1327209472656,819.5534057617188,437.7554931640625,768.3264770507812,437.0780334472656,810.0930786132812,536.8640747070312,765.1612548828125,539.2534790039062,792.3490600585938,626.1292724609375,764.4409790039062,637.9773559570312,Vrikshasana,0.73537654
4,0.1333330073349633,806.1231689453125,229.4132232666016,815.2431640625,221.35923767089844,795.9093017578125,220.5577850341797,824.4708251953125,228.5535430908203,775.1870727539062,225.94683837890625,833.5777587890625,293.5298767089844,751.5065307617188,290.0830383300781,845.028564453125,370.6128540039063,728.0328369140625,365.2159729003906,842.7365112304688,429.842529296875,727.03125,433.1414184570313,818.098388671875,439.0775451660156,766.5164794921875,438.3197326660156,809.0830078125,539.499755859375,763.5169067382812,541.2925415039062,793.0714111328125,628.3522338867188,764.4265747070312,639.177490234375,Vrikshasana,0.72991484
5,0.1666662591687041,806.2787475585938,229.4802398681641,815.3994140625,221.44772338867188,796.0256958007812,220.6549224853516,824.7011108398438,228.70904541015625,775.3942260742188,226.1368408203125,833.8008422851562,293.8008117675781,751.8900756835938,290.168701171875,845.1409912109375,370.9315185546875,728.1642456054688,364.9350891113281,842.45849609375,430.033935546875,726.9606323242188,432.7359924316406,818.0222778320312,439.0000305175781,766.6058959960938,438.1703186035156,809.1747436523438,539.2140502929688,764.2355346679688,541.1678466796875,792.0684814453125,627.4535522460938,764.3511352539062,638.7650756835938,Vrikshasana,0.723587
6,0.1999995110024449,805.9599609375,229.5910797119141,815.1192626953125,221.5202178955078,795.6906127929688,220.73666381835935,824.50341796875,228.688232421875,775.0608520507812,226.1134796142578,833.6056518554688,293.7856140136719,751.643798828125,290.068115234375,844.781005859375,371.1563720703125,728.2437133789062,364.895751953125,842.5332641601562,430.4140930175781,727.1981201171875,432.5325317382813,817.9437866210938,439.1518249511719,766.4434814453125,438.2709045410156,808.9066162109375,539.4947509765625,763.6362915039062,541.2120361328125,792.29150390625,627.4891357421875,764.1453857421875,638.4182739257812,Vrikshasana,0.7178478
7,0.2333327628361858,805.5853881835938,230.4407501220703,814.99462890625,222.1873779296875,795.1771850585938,221.4337615966797,824.9010620117188,228.90464782714844,774.5570678710938,226.3759307861328,833.9042358398438,293.7859802246094,751.5131225585938,290.17803955078125,844.7022094726562,371.1286926269531,728.115478515625,365.0942993164063,842.3772583007812,430.2059020996094,727.0738525390625,432.77874755859375,818.235107421875,439.5864562988281,766.4585571289062,438.7771301269531,809.0091552734375,539.7830810546875,763.6199951171875,541.7060546875,792.1820678710938,627.40087890625,764.4254150390625,638.7598266601562,Vrikshasana,0.7117011
8,0.2666660146699266,806.1929321289062,228.48634338378903,814.9605102539062,220.2216339111328,795.3877563476562,219.5774383544922,823.0325317382812,227.85948181152344,773.3740234375,225.9269561767578,831.8404541015625,292.48028564453125,751.1786499023438,288.6097106933594,842.570068359375,370.01068115234375,728.7593383789062,362.6064758300781,841.1722412109375,429.9502258300781,730.296875,431.661376953125,819.1782836914062,437.0585021972656,768.95068359375,436.0621337890625,807.8771362304688,537.47998046875,770.8355102539062,537.4324340820312,792.0972900390625,618.96142578125,768.4944458007812,623.6121215820312,Vrikshasana,0.70569193
9,0.2999992665036675,801.0140991210938,225.4872589111328,809.7474365234375,217.64051818847656,790.952392578125,216.4290313720703,817.5470581054688,225.38150024414065,768.4602661132812,221.55618286132807,824.5892333984375,291.004150390625,744.4264526367188,286.1307678222656,836.0663452148438,369.62841796875,726.7134399414062,361.9191589355469,835.1603393554688,431.5448913574219,736.2944946289062,430.66253662109375,812.0585327148438,438.5455627441406,761.2937622070312,438.4868774414063,806.5167846679688,540.7784423828125,759.817626953125,545.828125,790.9805297851562,630.88134765625,760.4109497070312,644.7440795898438,Vrikshasana,0.69947696
10,0.3333325183374083,801.541748046875,225.3145446777344,810.0034790039062,217.45458984375,791.479248046875,216.348876953125,817.2726440429688,225.145751953125,768.5866088867188,221.5391082763672,824.1527709960938,290.6961364746094,744.3599853515625,286.0574035644531,835.8933715820312,369.52490234375,726.8273315429688,362.0101013183594,834.959716796875,431.8804321289063,736.2821044921875,430.9117431640625,811.8168334960938,438.15521240234375,761.2616577148438,438.2414245605469,806.3257446289062,540.3464965820312,759.8588256835938,545.76025390625,790.8282470703125,630.2305297851562,760.1529541015625,644.4979248046875,Vrikshasana,0.69246423
